"path","url","status","mdlen","attempt","file"
"/ar/about-us","https://www.maharat.com/ar/about-us","500","205","2","(not saved)"
"/ar/class","https://www.maharat.com/ar/class","404","154","2","(not saved)"
"/ar/class/design-style/bassam-fattouh-teaches-bridal-makeup","https://www.maharat.com/ar/class/design-style/bassam-fattouh-teaches-bridal-makeup","200","5297","1","pages/ar/class/design-style/bassam-fattouh-teaches-bridal-makeup.md"
"/ar/class/design-style/cedric-haddad-teaches-personal-styling","https://www.maharat.com/ar/class/design-style/cedric-haddad-teaches-personal-styling","200","7325","1","pages/ar/class/design-style/cedric-haddad-teaches-personal-styling.md"
"/ar/get-in-touch","https://www.maharat.com/ar/get-in-touch","500","205","2","(not saved)"
"/ar/library/science-tech","https://www.maharat.com/ar/library/science-tech","404","154","2","(not saved)"
"/ar/library/sports","https://www.maharat.com/ar/library/sports","404","154","2","(not saved)"
"/ar/library/wellness","https://www.maharat.com/ar/library/wellness","404","154","2","(not saved)"
"/ar/library/writing","https://www.maharat.com/ar/library/writing","404","154","2","(not saved)"
"/ar/playlist/adapt-or-fail","https://www.maharat.com/ar/playlist/adapt-or-fail","500","205","2","(not saved)"
"/ar/playlist/believe","https://www.maharat.com/ar/playlist/believe","500","205","2","(not saved)"
"/ar/playlist/build-your-audience-and-customer-base","https://www.maharat.com/ar/playlist/build-your-audience-and-customer-base","500","205","2","(not saved)"
"/ar/playlist/cater-to-your-sweet-tooth","https://www.maharat.com/ar/playlist/cater-to-your-sweet-tooth","500","205","2","(not saved)"
"/ar/playlist/facing-challenges","https://www.maharat.com/ar/playlist/facing-challenges","500","205","2","(not saved)"
"/ar/playlist/facing-challenges/fear-is-the-greatest-source-of-strength","https://www.maharat.com/ar/playlist/facing-challenges/fear-is-the-greatest-source-of-strength","500","205","2","(not saved)"
"/ar/playlist/forgotten-recipes-from-our-ancestors","https://www.maharat.com/ar/playlist/forgotten-recipes-from-our-ancestors","500","205","2","(not saved)"
"/ar/playlist/glam-it-up","https://www.maharat.com/ar/playlist/glam-it-up","500","205","2","(not saved)"
"/ar/playlist/invest-in-yourself","https://www.maharat.com/ar/playlist/invest-in-yourself","500","205","2","(not saved)"
"/ar/playlist/kafta-3-ways","https://www.maharat.com/ar/playlist/kafta-3-ways","500","205","2","(not saved)"
"/ar/playlist/look-perfect-tonight","https://www.maharat.com/ar/playlist/look-perfect-tonight","500","205","2","(not saved)"
"/ar/playlist/marketing-building-your-brand","https://www.maharat.com/ar/playlist/marketing-building-your-brand","500","205","2","(not saved)"
"/ar/playlist/masters-in-action","https://www.maharat.com/ar/playlist/masters-in-action","500","205","2","(not saved)"
"/ar/playlist/mental-health-first","https://www.maharat.com/ar/playlist/mental-health-first","500","205","2","(not saved)"
"/ar/playlist/mezze-essentials","https://www.maharat.com/ar/playlist/mezze-essentials","500","205","2","(not saved)"
"/ar/playlist/msakhan-msakhan-msakhan","https://www.maharat.com/ar/playlist/msakhan-msakhan-msakhan","500","205","2","(not saved)"
"/ar/playlist/nail-your-look-everyday","https://www.maharat.com/ar/playlist/nail-your-look-everyday","500","205","2","(not saved)"
"/ar/playlist/origin-stories","https://www.maharat.com/ar/playlist/origin-stories","500","205","2","(not saved)"
